"species","GO_ID","Term","Ont","GeneRatio","FoldEnrichment","pvalue","p.adjust","Count"
"Spla","GO:0007162","negative regulation of cell adhesion","BP","5/123",4.72583559168925,0.00410364812385682,0.0477023056021934,5
"Spla","GO:0007032","endosome organization","BP","4/123",6.07607433217189,0.0041691747887066,0.0479856982188809,4
"Spla","GO:0043627","response to estrogen","BP","3/123",9.11411149825784,0.00419089067413807,0.0479856982188809,3
"Spla","GO:1902475","L-alpha-amino acid transmembrane transport","BP","3/123",9.11411149825784,0.00419089067413807,0.0479856982188809,3
"Spla","GO:0051493","regulation of cytoskeleton organization","BP","11/123",2.52214406241097,0.00424451441193058,0.0482802752101071,11
"Spla","GO:0040013","negative regulation of locomotion","BP","6/123",3.92607879924953,0.0042587841015029,0.0482802752101071,6
"Spla","GO:1904951","positive regulation of establishment of protein localization","BP","9/123",2.83550135501355,0.00450995093610422,0.0508758012003875,9
"Spla","GO:0015800","acidic amino acid transport","BP","3/123",8.79983179142136,0.00463475610316188,0.0520274091972584,3
"Spla","GO:0071347","cellular response to interleukin-1","BP","4/123",5.86655452761424,0.00473018333846239,0.0528396090003847,4
"Spla","GO:2000145","regulation of cell motility","BP","11/123",2.47543769088485,0.0048798478745205,0.0542468525856891,11
"Spla","GO:0007413","axonal fasciculation","BP","3/123",8.50650406504065,0.00510601748160981,0.055416019113206,3
"Spla","GO:0008407","chaeta morphogenesis","BP","3/123",8.50650406504065,0.00510601748160981,0.055416019113206,3
"Spla","GO:0015171","amino acid transmembrane transporter activity","MF","3/123",8.50650406504065,0.00510601748160981,0.055416019113206,3
"Spla","GO:0050994","regulation of lipid catabolic process","BP","3/123",8.50650406504065,0.00510601748160981,0.055416019113206,3
"Spla","GO:0106030","neuron projection fasciculation","BP","3/123",8.50650406504065,0.00510601748160981,0.055416019113206,3
"Spla","GO:0022409","positive regulation of cell-cell adhesion","BP","4/123",5.6710027100271,0.00533987138930086,0.0576806862334857,4
"Spla","GO:0051223","regulation of protein transport","BP","11/123",2.43675897696477,0.00548271124033925,0.0589455809407366,11
"Spla","GO:0044089","positive regulation of cellular component biogenesis","BP","12/123",2.319955654102,0.00553902797792198,0.0592727760254268,12
"Spla","GO:0006835","dicarboxylic acid transport","BP","4/123",5.57803545248567,0.00566354081782918,0.0600440207075409,4
