term	gene
GO:0031981	Tadh-TriadG49541
GO:0032200	Tadh-TriadG49541
GO:0032201	Tadh-TriadG49541
GO:0032774	Tadh-TriadG49541
GO:0032991	Tadh-TriadG49541
GO:0032993	Tadh-TriadG49541
GO:0033260	Tadh-TriadG49541
GO:0033554	Tadh-TriadG49541
GO:0034061	Tadh-TriadG49541
GO:0034399	Tadh-TriadG49541
GO:0034654	Tadh-TriadG49541
GO:0036094	Tadh-TriadG49541
GO:0042592	Tadh-TriadG49541
GO:0043170	Tadh-TriadG49541
GO:0043226	Tadh-TriadG49541
GO:0043227	Tadh-TriadG49541
GO:0043228	Tadh-TriadG49541
GO:0043229	Tadh-TriadG49541
GO:0043231	Tadh-TriadG49541
GO:0043232	Tadh-TriadG49541
GO:0043233	Tadh-TriadG49541
GO:0043596	Tadh-TriadG49541
GO:0043601	Tadh-TriadG49541
GO:0044238	Tadh-TriadG49541
GO:0044770	Tadh-TriadG49541
GO:0044772	Tadh-TriadG49541
GO:0044786	Tadh-TriadG49541
GO:0044843	Tadh-TriadG49541
GO:0046982	Tadh-TriadG49541
GO:0046983	Tadh-TriadG49541
GO:0050789	Tadh-TriadG49541
GO:0050794	Tadh-TriadG49541
GO:0050896	Tadh-TriadG49541
GO:0051252	Tadh-TriadG49541
GO:0051276	Tadh-TriadG49541
GO:0051716	Tadh-TriadG49541
GO:0055029	Tadh-TriadG49541
GO:0060249	Tadh-TriadG49541
GO:0060255	Tadh-TriadG49541
GO:0061695	Tadh-TriadG49541
GO:0065007	Tadh-TriadG49541
GO:0065008	Tadh-TriadG49541
GO:0070013	Tadh-TriadG49541
GO:0071840	Tadh-TriadG49541
GO:0071897	Tadh-TriadG49541
GO:0080090	Tadh-TriadG49541
GO:0090304	Tadh-TriadG49541
GO:0140097	Tadh-TriadG49541
GO:1901265	Tadh-TriadG49541
GO:1901363	Tadh-TriadG49541
GO:1902494	Tadh-TriadG49541
GO:1903047	Tadh-TriadG49541
GO:1990234	Tadh-TriadG49541
GO:2001141	Tadh-TriadG49541
GO:0000079	Tadh-TriadG51271
GO:0001101	Tadh-TriadG51271
GO:0001932	Tadh-TriadG51271
GO:0001933	Tadh-TriadG51271
GO:0003674	Tadh-TriadG51271
GO:0004857	Tadh-TriadG51271
GO:0005048	Tadh-TriadG51271
GO:0005095	Tadh-TriadG51271
GO:0005215	Tadh-TriadG51271
GO:0005488	Tadh-TriadG51271
GO:0005515	Tadh-TriadG51271
GO:0005575	Tadh-TriadG51271
GO:0005622	Tadh-TriadG51271
GO:0005634	Tadh-TriadG51271
GO:0005635	Tadh-TriadG51271
GO:0005643	Tadh-TriadG51271
GO:0005730	Tadh-TriadG51271
GO:0005737	Tadh-TriadG51271
GO:0005829	Tadh-TriadG51271
GO:0006469	Tadh-TriadG51271
GO:0006606	Tadh-TriadG51271
GO:0006607	Tadh-TriadG51271
GO:0006610	Tadh-TriadG51271
GO:0006810	Tadh-TriadG51271
GO:0006886	Tadh-TriadG51271
GO:0006913	Tadh-TriadG51271
GO:0008104	Tadh-TriadG51271
GO:0008139	Tadh-TriadG51271
GO:0008150	Tadh-TriadG51271
GO:0009719	Tadh-TriadG51271
GO:0009892	Tadh-TriadG51271
GO:0009987	Tadh-TriadG51271
GO:0010563	Tadh-TriadG51271
GO:0010605	Tadh-TriadG51271
GO:0012505	Tadh-TriadG51271
GO:0015031	Tadh-TriadG51271
GO:0015833	Tadh-TriadG51271
GO:0016020	Tadh-TriadG51271
GO:0017038	Tadh-TriadG51271
GO:0019222	Tadh-TriadG51271
GO:0019899	Tadh-TriadG51271
GO:0030234	Tadh-TriadG51271
GO:0030695	Tadh-TriadG51271
GO:0031090	Tadh-TriadG51271
GO:0031267	Tadh-TriadG51271
GO:0031399	Tadh-TriadG51271
GO:0031400	Tadh-TriadG51271
GO:0031965	Tadh-TriadG51271
GO:0031967	Tadh-TriadG51271
GO:0031974	Tadh-TriadG51271
GO:0031981	Tadh-TriadG51271
GO:0032386	Tadh-TriadG51271
GO:0032388	Tadh-TriadG51271
GO:0032879	Tadh-TriadG51271
GO:0032880	Tadh-TriadG51271
GO:0032991	Tadh-TriadG51271
GO:0033036	Tadh-TriadG51271
GO:0033157	Tadh-TriadG51271
GO:0033218	Tadh-TriadG51271
GO:0033365	Tadh-TriadG51271
GO:0033673	Tadh-TriadG51271
GO:0034260	Tadh-TriadG51271
GO:0034399	Tadh-TriadG51271
GO:0034504	Tadh-TriadG51271
GO:0042221	Tadh-TriadG51271
GO:0042277	Tadh-TriadG51271
GO:0042306	Tadh-TriadG51271
GO:0042307	Tadh-TriadG51271
GO:0042325	Tadh-TriadG51271
GO:0042326	Tadh-TriadG51271
GO:0042886	Tadh-TriadG51271
GO:0043086	Tadh-TriadG51271
GO:0043087	Tadh-TriadG51271
GO:0043200	Tadh-TriadG51271
GO:0043226	Tadh-TriadG51271
GO:0043227	Tadh-TriadG51271
GO:0043228	Tadh-TriadG51271
GO:0043229	Tadh-TriadG51271
GO:0043231	Tadh-TriadG51271
GO:0043232	Tadh-TriadG51271
GO:0043233	Tadh-TriadG51271
GO:0043549	Tadh-TriadG51271
GO:0044092	Tadh-TriadG51271
GO:0045184	Tadh-TriadG51271
GO:0045736	Tadh-TriadG51271
GO:0045786	Tadh-TriadG51271
GO:0045859	Tadh-TriadG51271
GO:0045936	Tadh-TriadG51271
GO:0046822	Tadh-TriadG51271
GO:0046824	Tadh-TriadG51271
GO:0046907	Tadh-TriadG51271
GO:0048518	Tadh-TriadG51271
GO:0048519	Tadh-TriadG51271
GO:0048523	Tadh-TriadG51271
GO:0050789	Tadh-TriadG51271
GO:0050790	Tadh-TriadG51271
GO:0050794	Tadh-TriadG51271
GO:0050896	Tadh-TriadG51271
GO:0051020	Tadh-TriadG51271
GO:0051049	Tadh-TriadG51271
GO:0051050	Tadh-TriadG51271
GO:0051169	Tadh-TriadG51271
GO:0051170	Tadh-TriadG51271
GO:0051174	Tadh-TriadG51271
GO:0051179	Tadh-TriadG51271
GO:0051222	Tadh-TriadG51271
GO:0051223	Tadh-TriadG51271
GO:0051234	Tadh-TriadG51271
GO:0051246	Tadh-TriadG51271
GO:0051248	Tadh-TriadG51271
GO:0051336	Tadh-TriadG51271
GO:0051338	Tadh-TriadG51271
GO:0051346	Tadh-TriadG51271
GO:0051641	Tadh-TriadG51271
GO:0051649	Tadh-TriadG51271
GO:0051716	Tadh-TriadG51271
GO:0051726	Tadh-TriadG51271
GO:0060255	Tadh-TriadG51271
GO:0060341	Tadh-TriadG51271
