CellName,UMAP_1,UMAP_2
1380-0-6,9.386861,-5.0724826
1381-0-6,9.113975,-2.7207863
1386-0-6,8.076808,9.164088
1387-0-6,8.144574,-2.4213448
1392-0-6,-4.452887,3.6215782
1393-0-6,3.859738,2.3593798
1398-0-6,7.82989,-1.101111
1399-0-6,16.198473,2.5421286
1404-0-6,7.608538,-1.0194256
1405-0-6,10.04544,-4.6267405
1406-0-6,3.7969766,4.2829313
1410-0-6,6.8355317,4.594702
1411-0-6,9.230152,-5.1440387
1416-0-6,-3.5053234,5.0248766
1417-0-6,9.804409,-5.6330605
1422-0-6,9.190109,1.9135871
1423-0-6,15.656697,-2.9359865
1428-0-6,7.771602,-0.55753976
1429-0-6,7.64778,-1.8159246
1434-0-6,8.428992,-3.7661984
1435-0-6,14.941806,4.0563326
1440-0-6,7.920279,-3.1963565
1441-0-6,14.633707,12.140236
1446-0-6,10.985843,-5.529353
1447-0-6,17.343824,0.99433184
1452-0-6,8.498586,0.3735029
1453-0-6,7.6716366,-0.91199356
1457-0-6,8.392679,-3.1053946
1458-0-6,10.366237,-5.176384
1462-0-6,16.988771,2.4846344
1463-0-6,9.525285,0.46197963
1467-0-6,7.8941197,-1.412258
1468-0-6,18.28338,0.34901503
1472-0-6,8.819528,-4.8853674
1473-0-6,10.348753,-4.4176736
1477-0-6,8.840934,-2.0009332
1478-0-6,9.899376,-5.0901837
1482-0-6,6.6177597,1.9944013
1483-0-6,9.555685,-3.534279
1487-0-6,8.665193,14.600325
1488-0-6,3.94188,1.8873069
1492-0-6,8.441976,8.55364
1493-0-6,8.045299,14.368934
1497-0-6,12.289673,-3.6317983
1498-0-6,9.300934,-4.4343257
1499-0-6,-3.7423565,-1.8558496
1502-0-6,7.144553,6.4151683
1503-0-6,11.548406,-5.1486707
1507-0-6,8.07724,-1.3110958
1508-0-6,17.486734,1.139336
1512-0-6,7.8899,-0.81172925
1513-0-6,12.67846,-4.2880588
1517-0-6,14.046501,10.974828
1518-0-6,16.600998,-2.0992968
1522-0-6,10.214826,-5.0553875
1523-0-6,10.480425,-3.5003083
1527-0-6,7.950914,7.5391593
1528-0-6,9.941938,-3.3696306
1532-0-6,-3.6058624,4.7648993
1533-0-6,10.885508,-4.3290486
1537-0-6,8.957409,0.9687372
1538-0-6,18.354744,6.7953734
1542-0-6,7.8093004,-2.611685
1543-0-6,9.3723,-4.2331986
1547-0-6,9.685987,-2.5275178
1548-0-6,9.011528,-5.3034163
1552-0-6,8.321716,14.400174
1553-0-6,9.173571,-3.5462122
1557-0-6,3.0339696,-1.102592
1558-0-6,8.690782,-4.7129307
1559-0-6,9.785783,2.2787511
1562-0-6,12.511576,1.3707583
1563-0-6,2.0137925,2.050232
1567-0-6,14.69597,2.6466594
1568-0-6,16.62152,5.1793294
1572-0-6,8.892232,-3.652627
1573-0-6,11.619724,-5.090173
1577-0-6,8.671993,14.646747
1578-0-6,17.094925,3.0189443
1582-0-6,8.615861,-3.0448658
1583-0-6,9.619152,-5.045255
1587-0-6,10.190143,-4.92411
1588-0-6,18.809673,3.4537504
1592-0-6,9.875833,-4.2302165
1593-0-6,7.911019,-3.8880687
1597-0-6,6.2288957,5.04255
1598-0-6,5.862013,3.2526855
1602-0-6,7.850575,-1.5887887
1603-0-6,9.810146,-4.294915
1607-0-6,8.40909,-4.038436
1608-0-6,12.289963,1.2068251
1612-0-6,10.488505,-4.029889
1613-0-6,15.078501,1.8805486
1617-0-6,7.8957367,-3.777225
1618-0-6,15.180391,1.4124608
1622-0-6,14.666091,12.168585
1623-0-6,10.448849,-4.125797
1627-0-6,9.2402525,1.2191178
1628-0-6,3.3060398,1.5604239
1633-0-6,10.874646,-5.186649
1637-0-6,11.341867,-5.2839155
1638-0-6,8.571094,-4.839062
1642-0-6,8.023989,-3.5204065
1643-0-6,9.204166,-5.466336
1647-0-6,-4.401452,3.6527002
1648-0-6,10.1934,-3.2682335
1652-0-6,8.586535,-2.5186882
1653-0-6,10.159484,-3.8640325
1657-0-6,8.963329,14.673935
1658-0-6,12.990883,-4.667082
1662-0-6,5.3945374,5.278354
1663-0-6,9.992974,-4.121798
1667-0-6,14.359253,11.538875
1668-0-6,11.246839,0.8396664
1672-0-6,4.6603303,7.6926904
1673-0-6,8.107188,-3.4160714
1677-0-6,9.840529,-5.4524417
1678-0-6,8.256984,-2.7964687
1682-0-6,10.468942,-3.7947254
1683-0-6,10.231946,-2.082735
1687-0-6,6.977479,5.2892838
1688-0-6,10.479154,-1.0685352
1692-0-6,8.6149435,-5.114249
1693-0-6,12.690423,-4.0471487
1697-0-6,5.7279177,6.081439
1698-0-6,6.858446,5.882478
1702-0-6,18.833681,6.5825276
1703-0-6,9.683531,-4.879651
1707-0-6,2.3296237,2.0972438
1708-0-6,8.207409,-5.1808157
1712-0-6,7.1378684,1.388753
1713-0-6,9.963111,-3.656382
1717-0-6,11.436345,-5.1772547
1718-0-6,4.9534025,1.4665028
1722-0-6,6.551614,4.2075577
1723-0-6,5.6237144,5.6681485
1727-0-6,16.011198,1.8886232
1728-0-6,10.134409,-3.6825957
1732-0-6,8.748004,-0.77809995
1733-0-6,9.061194,-2.993755
1737-0-6,12.756674,-4.3660808
