CellName,broad_cell_type,CellTypes
813-14-6,Neural Posterior,Dare_Neural Posterior
814-14-6,Neural Posterior,Dare_Neural Posterior
815-14-6,Epidermal,Dare_Epidermal
816-14-6,Neural Posterior,Dare_Neural Posterior
817-14-6,Neural Posterior,Dare_Neural Posterior
825-14-6,Mesoderm,Dare_Mesoderm
826-14-6,Neural Anterior,Dare_Neural Anterior
827-14-6,Mesoderm,Dare_Mesoderm
828-14-6,Neural Posterior,Dare_Neural Posterior
829-14-6,Mesoderm,Dare_Mesoderm
830-14-6,Neural Posterior,Dare_Neural Posterior
831-14-6,Neural Mid,Dare_Neural Mid
832-14-6,Mesoderm,Dare_Mesoderm
840-14-6,Mesoderm,Dare_Mesoderm
841-14-6,Neural Mid,Dare_Neural Mid
842-14-6,Mesoderm,Dare_Mesoderm
843-14-6,Neural Anterior,Dare_Neural Anterior
844-14-6,Neural Posterior,Dare_Neural Posterior
845-14-6,Neural Posterior,Dare_Neural Posterior
846-14-6,Neural Posterior,Dare_Neural Posterior
847-14-6,Neural Posterior,Dare_Neural Posterior
855-14-6,Neural Anterior,Dare_Neural Anterior
856-14-6,Neural Posterior,Dare_Neural Posterior
857-14-6,Neural Anterior,Dare_Neural Anterior
858-14-6,Neural Mid,Dare_Neural Mid
859-14-6,Neural Anterior,Dare_Neural Anterior
860-14-6,Neural Posterior,Dare_Neural Posterior
861-14-6,Neural Posterior,Dare_Neural Posterior
862-14-6,Neural Posterior,Dare_Neural Posterior
870-14-6,Epidermal,Dare_Epidermal
871-14-6,Neural Posterior,Dare_Neural Posterior
872-14-6,Neural Anterior,Dare_Neural Anterior
873-14-6,Mesoderm,Dare_Mesoderm
874-14-6,Neural Mid,Dare_Neural Mid
875-14-6,Neural Posterior,Dare_Neural Posterior
876-14-6,Neural Posterior,Dare_Neural Posterior
877-14-6,Neural Posterior,Dare_Neural Posterior
885-14-6,Mesoderm,Dare_Mesoderm
886-14-6,Neural Posterior,Dare_Neural Posterior
887-14-6,Neural Anterior,Dare_Neural Anterior
888-14-6,Neural Posterior,Dare_Neural Posterior
889-14-6,Neural Anterior,Dare_Neural Anterior
890-14-6,Neural Posterior,Dare_Neural Posterior
891-14-6,Neural Posterior,Dare_Neural Posterior
892-14-6,Mesoderm,Dare_Mesoderm
900-14-6,Mesoderm,Dare_Mesoderm
901-14-6,Neural Anterior,Dare_Neural Anterior
902-14-6,Neural Anterior,Dare_Neural Anterior
903-14-6,Neural Posterior,Dare_Neural Posterior
904-14-6,Neural Mid,Dare_Neural Mid
905-14-6,Neural Posterior,Dare_Neural Posterior
906-14-6,Neural Posterior,Dare_Neural Posterior
907-14-6,Neural Posterior,Dare_Neural Posterior
915-14-6,Mesoderm,Dare_Mesoderm
916-14-6,Mesoderm,Dare_Mesoderm
917-14-6,Neural Posterior,Dare_Neural Posterior
918-14-6,Endoderm,Dare_Endoderm
919-14-6,Neural Anterior,Dare_Neural Anterior
920-14-6,Neural Posterior,Dare_Neural Posterior
921-14-6,Neural Posterior,Dare_Neural Posterior
922-14-6,Neural Mid,Dare_Neural Mid
930-14-6,Mesoderm,Dare_Mesoderm
931-14-6,Neural Crest,Dare_Neural Crest
932-14-6,Mesoderm,Dare_Mesoderm
933-14-6,Neural Anterior,Dare_Neural Anterior
934-14-6,Neural Posterior,Dare_Neural Posterior
935-14-6,Neural Posterior,Dare_Neural Posterior
936-14-6,Neural Posterior,Dare_Neural Posterior
937-14-6,Epidermal,Dare_Epidermal
945-14-6,Neural Posterior,Dare_Neural Posterior
946-14-6,Neural Anterior,Dare_Neural Anterior
947-14-6,Mesoderm,Dare_Mesoderm
948-14-6,Mesoderm,Dare_Mesoderm
949-14-6,Neural Posterior,Dare_Neural Posterior
950-14-6,Neural Posterior,Dare_Neural Posterior
951-14-6,Neural Posterior,Dare_Neural Posterior
952-14-6,Neural Posterior,Dare_Neural Posterior
960-14-6,Mesoderm,Dare_Mesoderm
961-14-6,Neural Anterior,Dare_Neural Anterior
962-14-6,Neural Anterior,Dare_Neural Anterior
963-14-6,Neural Posterior,Dare_Neural Posterior
964-14-6,Mesoderm,Dare_Mesoderm
965-14-6,Neural Posterior,Dare_Neural Posterior
966-14-6,Neural Posterior,Dare_Neural Posterior
967-14-6,Neural Posterior,Dare_Neural Posterior
975-14-6,Mesoderm,Dare_Mesoderm
976-14-6,Neural Posterior,Dare_Neural Posterior
977-14-6,Neural Mid,Dare_Neural Mid
978-14-6,Neural Mid,Dare_Neural Mid
979-14-6,Neural Posterior,Dare_Neural Posterior
980-14-6,Neural Posterior,Dare_Neural Posterior
981-14-6,Neural Posterior,Dare_Neural Posterior
