source,target,weight,source_type,target_type
4989,18124,172469.31837385273,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,30709,-172318.76390816475,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4993,512,-172254.00633922892,"GL, Gland cell","CN, Cnidocytes/Nematocyte cell"
4980,27051,-172221.18186676357,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4830,512,-172154.98603677546,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4989,12993,171834.9825656616,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,23653,-171419.75316587524,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,9256,-171356.899460474,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,21259,171332.32560622008,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,8523,170879.62595217468,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4657,15695,170412.86351573485,"SG, Stem/Germline cell","CN, Cnidocytes/Nematocyte cell"
4989,691,170378.40224700415,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,4601,-170006.05213027843,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4202,18124,-169792.78867532045,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,11984,169739.30555250568,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
3591,27563,-169677.91174843826,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4989,10970,169449.58773022998,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
3591,17290,-169386.11937292432,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
3591,2703,-169313.3623762935,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4202,28655,-169002.89659275181,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
