From	To
Q28DF4	ppm1h
Q02753	RPL21A
Q923Y4	Taar7h
P52486	Ubc4
Q9UBS8	RNF14
Q5F489	TAF3
Q5R452	SAFB
Q6DMN8	SPATA4
P37727	Chm
A7YW98	RARS1
P54531	yqiT
Q5RFI8	PGM2
P61221	ABCE1
Q08BG1	tmppe
Q6NZQ2	Ddx31
P27398	sol
Q96SQ7	ATOH8
A7S3J7	v1g242621
Q9ES03	Tbx20
Q6GLI9	polr1e
P97554	Dnajb9
Q8BH31	Mfsd8
Q6DKM1	unc50-a
Q9Y2Z0	SUGT1
Q91821	melk
E7EZF3	uhrf1
A0A481NSZ4	BPI
Q66GM8	PAE10
Q9NW08	POLR3B
Q9NII1	Adar
O43159	RRP8
Q08AY6	kmt5a-a
Q9HDZ5	SPAC589.09
Q5SUV2	Mycbpap
Q811U3	Erc1
P91623	grn
Q5U317	Fip1l1
Q9JI99	Sgpp1
F4I1X0	HIPP41
P23771	GATA3
Q2TAA5	ALG11
P50573	Gabrr3
E1BNQ4	NAXD
A7RS11	HPF1
Q96GY3	LIN37
Q5F452	MTMR8
Q9UKJ5	CHIC2
A0JMY5	nfxl1
P81192	HOXA4
Q2A865	Slc6a19
Q9NZI5	GRHL1
O82568	AAPT2
F8W2M8	tpp1
B0BML7	spr
Q8BZE1	Cdcp3
Q6P0U0	amdhd2
Q6GM07	cinp
Q3SWX0	NIPA2
Q7T163	kidins220b
Q8R3S6	Exoc1
Q39XY8	rpmD
P35846	Folr1
Q2PZL6	Fat4
O75897	SULT1C4
Q8IZU2	WDR17
O88576	Slc6a18
A0A0R4IES7	bltp1
Q15154	PCM1
P30531	SLC6A1
Q9Y5K6	CD2AP
Q5E9N5	CLPB
Q9H4K1	RIBC2
O60494	CUBN
Q9HAR2	ADGRL3
Q7TMC8	Fcsk
P81274	GPSM2
Q5T1M5	FKBP15
Q03958	Pfdn6
Q7Z5N4	SDK1
O95279	KCNK5
P55115	nas-15
G5EBF1	sax-3
G5EBQ8	chs-2
Q7PD79	G-s-alpha-60A
Q6PFL0	med27
Q13356	PPIL2
A0A1L8GXM0	rad50.L
Q96FA3	PELI1
O57593	surf1
Q8TDX7	NEK7
O75063	FAM20B
Q9D2R8	Mrps33
Q5BJF6	ODF2
Q5ZJW4	SEC22B
Q9P202	WHRN
Q8IYH5	ZZZ3
A2AJ15	Man1b1
Q8BMC1	Atp6v1g3
Q7RTX1	TAS1R1
Q6EWQ6	DHPS
Q1JQB2	BUB3
Q9UBH6	XPR1
P54100	Vav1
Q07817	BCL2L1
Q9NVG8	TBC1D13
Q05B79	DHX36
Q5ZL19	STX6
Q9N0A4	PTGES2
Q4PJX1	Odr4
C9D7C2	CAC
A7MBH5	ODAD3
Q5ZJ81	SH3GLB2
A9UL70	swi5
A6H751	FPGS
