,Sub_cell_type,Broad_cell_type
1_CELL7281_N3,GA_1,"GA, Gastrodermal cell"
1_CELL7282_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7284_N2,CN_3,"CN, Cnidocytes/Nematocyte cell"
1_CELL7286_N3,GA_1,"GA, Gastrodermal cell"
1_CELL7288_N2,SG_1,"SG, Stem/Germline cell"
1_CELL7290_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7293_N3,GL_2,"GL, Gland cell"
1_CELL7295_N2,HA,"HA, Hair cell"
1_CELL7299_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7300_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7301_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7303_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7304_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7307_N2,NE_1,"NE, Neural cell"
1_CELL7309_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7310_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7311_N2,GA_3,"GA, Gastrodermal cell"
1_CELL7315_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7316_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7317_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7322_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7323_N2,GA_2,"GA, Gastrodermal cell"
1_CELL7324_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7325_N2,NE_4,"NE, Neural cell"
1_CELL7326_N1,NE_4,"NE, Neural cell"
1_CELL7327_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7328_N2,GA_2,"GA, Gastrodermal cell"
1_CELL7332_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7333_N2,SG_1,"SG, Stem/Germline cell"
1_CELL7336_N2,GA_2,"GA, Gastrodermal cell"
1_CELL7338_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7339_N2,GA_2,"GA, Gastrodermal cell"
1_CELL7340_N1,NE_2,"NE, Neural cell"
1_CELL7342_N2,GA_4,"GA, Gastrodermal cell"
1_CELL7343_N1,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7344_N3,GA_3,"GA, Gastrodermal cell"
1_CELL7345_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7346_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7348_N2,GA_4,"GA, Gastrodermal cell"
1_CELL7351_N2,GL_1,"GL, Gland cell"
1_CELL7354_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7359_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7367_N4,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7368_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7371_N2,NE_1,"NE, Neural cell"
1_CELL7374_N3,GA_1,"GA, Gastrodermal cell"
1_CELL7376_N2,NE_4,"NE, Neural cell"
1_CELL7377_N1,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7378_N2,SG_4,"SG, Stem/Germline cell"
1_CELL7379_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7380_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7381_N3,NE_2,"NE, Neural cell"
1_CELL7382_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7384_N3,NE_1,"NE, Neural cell"
1_CELL7385_N2,GL_2,"GL, Gland cell"
1_CELL7387_N4,GA_1,"GA, Gastrodermal cell"
1_CELL7388_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7390_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7394_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7395_N2,NE_2,"NE, Neural cell"
1_CELL7397_N3,CN_4,"CN, Cnidocytes/Nematocyte cell"
1_CELL7402_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7404_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7405_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7406_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7407_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7410_N4,GA_1,"GA, Gastrodermal cell"
1_CELL7414_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7415_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7419_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7420_N2,GA_2,"GA, Gastrodermal cell"
1_CELL7421_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7422_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7426_N2,GA_2,"GA, Gastrodermal cell"
1_CELL7427_N2,GL_1,"GL, Gland cell"
1_CELL7428_N3,HA,"HA, Hair cell"
1_CELL7429_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL7430_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7432_N2,NE_3,"NE, Neural cell"
1_CELL7434_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7437_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7442_N3,GL_2,"GL, Gland cell"
1_CELL7446_N2,SG_3,"SG, Stem/Germline cell"
1_CELL7453_N2,NE_3,"NE, Neural cell"
1_CELL7454_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7460_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7461_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7462_N4,NE_4,"NE, Neural cell"
1_CELL7466_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7470_N2,GA_4,"GA, Gastrodermal cell"
1_CELL7473_N1,HA,"HA, Hair cell"
1_CELL7474_N2,GA_4,"GA, Gastrodermal cell"
1_CELL7475_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7476_N1,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7477_N3,HA,"HA, Hair cell"
1_CELL7483_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7485_N2,GL_1,"GL, Gland cell"
1_CELL7486_N3,GA_2,"GA, Gastrodermal cell"
1_CELL7489_N2,HA,"HA, Hair cell"
1_CELL7491_N3,NE_2,"NE, Neural cell"
1_CELL7494_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7496_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7497_N3,HA,"HA, Hair cell"
1_CELL7498_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7499_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7501_N1,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL7503_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7505_N2,GL_2,"GL, Gland cell"
1_CELL7506_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7508_N3,SG_1,"SG, Stem/Germline cell"
1_CELL7513_N2,NE_3,"NE, Neural cell"
1_CELL7514_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7517_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7520_N2,NE_1,"NE, Neural cell"
1_CELL7522_N3,GA_1,"GA, Gastrodermal cell"
1_CELL7524_N2,SG_1,"SG, Stem/Germline cell"
1_CELL7528_N3,NE_2,"NE, Neural cell"
1_CELL7529_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7531_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7532_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7534_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL7535_N2,CN_3,"CN, Cnidocytes/Nematocyte cell"
1_CELL7539_N3,CN_3,"CN, Cnidocytes/Nematocyte cell"
1_CELL7541_N2,GA_5,"GA, Gastrodermal cell"
1_CELL7542_N3,NE_4,"NE, Neural cell"
1_CELL7546_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7549_N2,NE_2,"NE, Neural cell"
1_CELL7551_N2,GA_4,"GA, Gastrodermal cell"
1_CELL7552_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7554_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7557_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7558_N2,SG_2,"SG, Stem/Germline cell"
1_CELL7562_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7567_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL7571_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7573_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7574_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7575_N2,NE_3,"NE, Neural cell"
1_CELL7578_N2,GA_2,"GA, Gastrodermal cell"
1_CELL7579_N2,NE_1,"NE, Neural cell"
1_CELL7581_N3,GL_1,"GL, Gland cell"
1_CELL7584_N3,GA_3,"GA, Gastrodermal cell"
1_CELL7586_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL7589_N3,NE_4,"NE, Neural cell"
1_CELL7591_N3,GA_1,"GA, Gastrodermal cell"
1_CELL7592_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7593_N3,CN_4,"CN, Cnidocytes/Nematocyte cell"
1_CELL7594_N2,GA_4,"GA, Gastrodermal cell"
1_CELL7595_N3,NE_3,"NE, Neural cell"
1_CELL7596_N2,HA,"HA, Hair cell"
1_CELL7597_N2,SG_1,"SG, Stem/Germline cell"
1_CELL7599_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7603_N2,SG_2,"SG, Stem/Germline cell"
1_CELL7604_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7606_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7608_N4,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7611_N2,HA,"HA, Hair cell"
1_CELL7612_N2,HA,"HA, Hair cell"
1_CELL7613_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7615_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7617_N2,HA,"HA, Hair cell"
1_CELL7618_N3,SG_3,"SG, Stem/Germline cell"
1_CELL7619_N2,NE_1,"NE, Neural cell"
1_CELL7623_N4,HA,"HA, Hair cell"
1_CELL7624_N1,GA_2,"GA, Gastrodermal cell"
1_CELL7625_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7626_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7627_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7629_N2,HA,"HA, Hair cell"
1_CELL7630_N2,SG_2,"SG, Stem/Germline cell"
1_CELL7631_N2,NE_2,"NE, Neural cell"
1_CELL7632_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7634_N3,NE_2,"NE, Neural cell"
1_CELL7635_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7636_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7637_N2,CN_3,"CN, Cnidocytes/Nematocyte cell"
1_CELL7639_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7640_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7644_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7645_N2,NE_4,"NE, Neural cell"
1_CELL7646_N3,GA_3,"GA, Gastrodermal cell"
1_CELL7647_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7648_N2,GL_2,"GL, Gland cell"
1_CELL7650_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7654_N1,GA_2,"GA, Gastrodermal cell"
1_CELL7657_N2,GA_2,"GA, Gastrodermal cell"
1_CELL7659_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7660_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7661_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7663_N2,HA,"HA, Hair cell"
1_CELL7668_N2,NE_2,"NE, Neural cell"
1_CELL7670_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7673_N2,GA_4,"GA, Gastrodermal cell"
1_CELL7674_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7677_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7678_N2,NE_2,"NE, Neural cell"
1_CELL7679_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7685_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7688_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7690_N4,NE_4,"NE, Neural cell"
1_CELL7693_N3,SG_3,"SG, Stem/Germline cell"
1_CELL7701_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7706_N2,CN_4,"CN, Cnidocytes/Nematocyte cell"
1_CELL7709_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7711_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7713_N3,GA_2,"GA, Gastrodermal cell"
1_CELL7714_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7715_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7719_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7721_N2,GA_2,"GA, Gastrodermal cell"
1_CELL7724_N1,GA_4,"GA, Gastrodermal cell"
1_CELL7726_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7728_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7731_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7733_N2,GA_4,"GA, Gastrodermal cell"
1_CELL7739_N3,GL_1,"GL, Gland cell"
1_CELL7740_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7741_N1,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7743_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7744_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7747_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7748_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7750_N4,GL_1,"GL, Gland cell"
1_CELL7752_N4,GA_1,"GA, Gastrodermal cell"
1_CELL7753_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7754_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7755_N3,NE_3,"NE, Neural cell"
1_CELL7757_N2,HA,"HA, Hair cell"
1_CELL7758_N3,HA,"HA, Hair cell"
1_CELL7760_N2,SG_1,"SG, Stem/Germline cell"
1_CELL7761_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7762_N1,GA_2,"GA, Gastrodermal cell"
1_CELL7764_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7766_N2,NE_3,"NE, Neural cell"
1_CELL7769_N3,GA_2,"GA, Gastrodermal cell"
1_CELL7772_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7773_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7776_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7777_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7780_N3,NE_1,"NE, Neural cell"
1_CELL7782_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL7784_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7786_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7788_N3,GL_2,"GL, Gland cell"
1_CELL7790_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7792_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7794_N1,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7797_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL7798_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7799_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7800_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7801_N4,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL7802_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7803_N2,HA,"HA, Hair cell"
1_CELL7804_N4,NE_3,"NE, Neural cell"
1_CELL7808_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7811_N3,NE_1,"NE, Neural cell"
1_CELL7813_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7815_N3,GL_1,"GL, Gland cell"
1_CELL7816_N2,NE_3,"NE, Neural cell"
1_CELL7820_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL7821_N2,GA_4,"GA, Gastrodermal cell"
1_CELL7823_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7824_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7828_N1,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7833_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7834_N2,SG_3,"SG, Stem/Germline cell"
1_CELL7835_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7836_N2,SG_1,"SG, Stem/Germline cell"
1_CELL7837_N2,SG_1,"SG, Stem/Germline cell"
1_CELL7839_N3,SG_1,"SG, Stem/Germline cell"
1_CELL7840_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7842_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7844_N3,GA_1,"GA, Gastrodermal cell"
1_CELL7848_N2,NE_4,"NE, Neural cell"
1_CELL7849_N2,NE_1,"NE, Neural cell"
1_CELL7853_N2,NE_4,"NE, Neural cell"
1_CELL7863_N4,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7866_N1,GA_1,"GA, Gastrodermal cell"
1_CELL7868_N3,GA_3,"GA, Gastrodermal cell"
1_CELL7870_N1,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7873_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7875_N3,GA_1,"GA, Gastrodermal cell"
1_CELL7876_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7883_N2,GA_2,"GA, Gastrodermal cell"
1_CELL7884_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7888_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7889_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7894_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7898_N1,SG_2,"SG, Stem/Germline cell"
1_CELL7899_N1,GA_2,"GA, Gastrodermal cell"
1_CELL7901_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7903_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7906_N3,CN_3,"CN, Cnidocytes/Nematocyte cell"
1_CELL7917_N1,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7918_N4,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7919_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7920_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL7921_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL7925_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7926_N2,HA,"HA, Hair cell"
1_CELL7929_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7931_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7932_N3,SG_1,"SG, Stem/Germline cell"
1_CELL7933_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7934_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7936_N2,GA_4,"GA, Gastrodermal cell"
1_CELL7937_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7939_N2,CN_4,"CN, Cnidocytes/Nematocyte cell"
1_CELL7941_N4,GL_1,"GL, Gland cell"
1_CELL7945_N3,NE_4,"NE, Neural cell"
1_CELL7946_N2,HA,"HA, Hair cell"
1_CELL7947_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL7948_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7949_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7952_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7953_N3,GA_1,"GA, Gastrodermal cell"
1_CELL7955_N2,NE_4,"NE, Neural cell"
1_CELL7958_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7959_N2,NE_3,"NE, Neural cell"
1_CELL7960_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7963_N2,GL_2,"GL, Gland cell"
1_CELL7966_N2,GA_1,"GA, Gastrodermal cell"
1_CELL7968_N2,NE_1,"NE, Neural cell"
1_CELL7974_N1,HA,"HA, Hair cell"
1_CELL7977_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7978_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7985_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL7987_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL7992_N2,CN_4,"CN, Cnidocytes/Nematocyte cell"
1_CELL7993_N2,NE_3,"NE, Neural cell"
1_CELL7995_N3,NE_4,"NE, Neural cell"
1_CELL7996_N2,CN_3,"CN, Cnidocytes/Nematocyte cell"
1_CELL7998_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8002_N2,GA_2,"GA, Gastrodermal cell"
1_CELL8003_N3,HA,"HA, Hair cell"
1_CELL8005_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8011_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8014_N3,GA_1,"GA, Gastrodermal cell"
1_CELL8018_N3,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL8019_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8021_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL8027_N2,GA_2,"GA, Gastrodermal cell"
1_CELL8030_N2,GA_2,"GA, Gastrodermal cell"
1_CELL8032_N3,GA_2,"GA, Gastrodermal cell"
1_CELL8034_N2,HA,"HA, Hair cell"
1_CELL8035_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8036_N2,HA,"HA, Hair cell"
1_CELL8037_N2,NE_1,"NE, Neural cell"
1_CELL8041_N2,GA_3,"GA, Gastrodermal cell"
1_CELL8046_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8048_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8050_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8054_N2,NE_1,"NE, Neural cell"
1_CELL8059_N3,NE_1,"NE, Neural cell"
1_CELL8062_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8066_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8068_N2,GA_2,"GA, Gastrodermal cell"
1_CELL8069_N2,GA_4,"GA, Gastrodermal cell"
1_CELL8074_N4,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8076_N2,SG_1,"SG, Stem/Germline cell"
1_CELL8077_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8078_N1,SG_2,"SG, Stem/Germline cell"
1_CELL8079_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL8082_N2,SG_2,"SG, Stem/Germline cell"
1_CELL8084_N4,SG_3,"SG, Stem/Germline cell"
1_CELL8085_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL8087_N2,SG_4,"SG, Stem/Germline cell"
1_CELL8092_N2,NE_4,"NE, Neural cell"
1_CELL8093_N3,GA_4,"GA, Gastrodermal cell"
1_CELL8100_N2,GA_5,"GA, Gastrodermal cell"
1_CELL8103_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8105_N3,HA,"HA, Hair cell"
1_CELL8107_N2,GA_4,"GA, Gastrodermal cell"
1_CELL8108_N4,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL8109_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8110_N2,SG_2,"SG, Stem/Germline cell"
1_CELL8112_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8113_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8115_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8117_N2,GA_2,"GA, Gastrodermal cell"
1_CELL8124_N4,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8125_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8129_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8130_N1,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8133_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL8134_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8135_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8137_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8139_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8140_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8142_N2,NE_3,"NE, Neural cell"
1_CELL8148_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8149_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8151_N3,GA_1,"GA, Gastrodermal cell"
1_CELL8152_N2,NE_1,"NE, Neural cell"
1_CELL8154_N2,GA_4,"GA, Gastrodermal cell"
1_CELL8160_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8163_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8165_N3,GA_4,"GA, Gastrodermal cell"
1_CELL8168_N1,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8171_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8178_N2,NE_3,"NE, Neural cell"
1_CELL8180_N3,GL_1,"GL, Gland cell"
1_CELL8182_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8185_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8189_N4,GA_1,"GA, Gastrodermal cell"
1_CELL8190_N3,NE_4,"NE, Neural cell"
1_CELL8192_N3,GA_1,"GA, Gastrodermal cell"
1_CELL8203_N2,SG_3,"SG, Stem/Germline cell"
1_CELL8205_N3,HA,"HA, Hair cell"
1_CELL8211_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8213_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8214_N3,GA_2,"GA, Gastrodermal cell"
1_CELL8215_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8218_N2,SG_1,"SG, Stem/Germline cell"
1_CELL8220_N2,NE_2,"NE, Neural cell"
1_CELL8221_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8223_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8225_N3,SG_1,"SG, Stem/Germline cell"
1_CELL8226_N2,GA_3,"GA, Gastrodermal cell"
1_CELL8227_N2,NE_3,"NE, Neural cell"
1_CELL8228_N4,GA_2,"GA, Gastrodermal cell"
1_CELL8229_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8230_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8232_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8234_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL8235_N2,GA_2,"GA, Gastrodermal cell"
1_CELL8236_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8237_N3,GA_2,"GA, Gastrodermal cell"
1_CELL8239_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8240_N3,NE_1,"NE, Neural cell"
1_CELL8241_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL8245_N3,CN_4,"CN, Cnidocytes/Nematocyte cell"
1_CELL8247_N2,GA_2,"GA, Gastrodermal cell"
1_CELL8251_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8252_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8254_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8256_N3,EM_3,"EM, Epidermal/Muscle cell"
