,Sub_cell_type,Broad_cell_type
3_CELL2975_N4,CN_3,"CN, Cnidocytes/Nematocyte cell"
3_CELL2980_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2981_N3,EM_2,"EM, Epidermal/Muscle cell"
3_CELL2982_N4,CN_1,"CN, Cnidocytes/Nematocyte cell"
3_CELL2983_N4,EM_3,"EM, Epidermal/Muscle cell"
3_CELL2984_N2,NE_4,"NE, Neural cell"
3_CELL2985_N2,SG_1,"SG, Stem/Germline cell"
3_CELL2986_N2,NE_2,"NE, Neural cell"
3_CELL2988_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2989_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2991_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2994_N2,CN_4,"CN, Cnidocytes/Nematocyte cell"
3_CELL2995_N2,GA_1,"GA, Gastrodermal cell"
3_CELL2999_N2,NE_2,"NE, Neural cell"
3_CELL3000_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3002_N2,GA_1,"GA, Gastrodermal cell"
3_CELL3008_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3009_N2,SG_1,"SG, Stem/Germline cell"
3_CELL3010_N3,GL_1,"GL, Gland cell"
3_CELL3019_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3021_N4,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3022_N3,EM_3,"EM, Epidermal/Muscle cell"
3_CELL3023_N3,NE_2,"NE, Neural cell"
3_CELL3025_N3,GA_1,"GA, Gastrodermal cell"
3_CELL3027_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3029_N3,GA_2,"GA, Gastrodermal cell"
3_CELL3032_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3033_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
3_CELL3036_N2,EM_2,"EM, Epidermal/Muscle cell"
3_CELL3039_N2,SG_1,"SG, Stem/Germline cell"
3_CELL3040_N2,EM_3,"EM, Epidermal/Muscle cell"
3_CELL3043_N4,GA_2,"GA, Gastrodermal cell"
3_CELL3049_N2,SG_1,"SG, Stem/Germline cell"
3_CELL3053_N4,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3060_N2,SG_2,"SG, Stem/Germline cell"
3_CELL3061_N3,EM_2,"EM, Epidermal/Muscle cell"
3_CELL3063_N2,GA_5,"GA, Gastrodermal cell"
3_CELL3064_N2,EM_2,"EM, Epidermal/Muscle cell"
3_CELL3066_N2,NE_3,"NE, Neural cell"
3_CELL3067_N3,CN_2,"CN, Cnidocytes/Nematocyte cell"
3_CELL3071_N2,SG_3,"SG, Stem/Germline cell"
3_CELL3073_N5,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3074_N4,GL_1,"GL, Gland cell"
3_CELL3078_N2,NE_1,"NE, Neural cell"
3_CELL3082_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
3_CELL3083_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3093_N4,EM_3,"EM, Epidermal/Muscle cell"
3_CELL3095_N3,EM_2,"EM, Epidermal/Muscle cell"
3_CELL3099_N2,NE_1,"NE, Neural cell"
3_CELL3101_N3,GL_1,"GL, Gland cell"
3_CELL3102_N2,GA_1,"GA, Gastrodermal cell"
3_CELL3104_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3106_N4,HA,"HA, Hair cell"
3_CELL3111_N2,NE_2,"NE, Neural cell"
3_CELL3112_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3113_N3,CN_2,"CN, Cnidocytes/Nematocyte cell"
3_CELL3118_N2,EM_3,"EM, Epidermal/Muscle cell"
3_CELL3119_N3,SG_3,"SG, Stem/Germline cell"
3_CELL3120_N3,GL_1,"GL, Gland cell"
3_CELL3121_N2,EM_3,"EM, Epidermal/Muscle cell"
3_CELL3122_N2,GA_1,"GA, Gastrodermal cell"
3_CELL3124_N3,GA_1,"GA, Gastrodermal cell"
3_CELL3131_N3,CN_3,"CN, Cnidocytes/Nematocyte cell"
3_CELL3133_N2,GL_1,"GL, Gland cell"
3_CELL3135_N2,SG_3,"SG, Stem/Germline cell"
3_CELL3139_N4,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3143_N2,HA,"HA, Hair cell"
3_CELL3148_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3153_N2,GA_4,"GA, Gastrodermal cell"
3_CELL3157_N2,EM_3,"EM, Epidermal/Muscle cell"
3_CELL3161_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3165_N4,EM_3,"EM, Epidermal/Muscle cell"
3_CELL3171_N3,NE_1,"NE, Neural cell"
3_CELL3173_N2,GA_5,"GA, Gastrodermal cell"
3_CELL3180_N2,HA,"HA, Hair cell"
3_CELL3181_N2,GL_2,"GL, Gland cell"
3_CELL3183_N4,GA_4,"GA, Gastrodermal cell"
3_CELL3184_N3,GA_4,"GA, Gastrodermal cell"
3_CELL3190_N5,SG_1,"SG, Stem/Germline cell"
3_CELL3194_N3,SG_1,"SG, Stem/Germline cell"
3_CELL3195_N2,SG_4,"SG, Stem/Germline cell"
3_CELL3203_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL3207_N3,EM_3,"EM, Epidermal/Muscle cell"
