"","tSNE_1","tSNE_2"
"1_CELL820_N2",-0.455472216296992,-17.1706709649145
"1_CELL821_N2",-17.8961510554414,-17.3856203611072
"1_CELL823_N2",-20.4064571998429,20.4581809879815
"1_CELL826_N5",21.5735187308492,25.2248469158687
"1_CELL828_N4",18.8210334785094,23.3448231675672
"1_CELL831_N3",-22.0361346750409,21.8392655787909
"1_CELL834_N3",0.401412077420417,-16.9753851295552
"1_CELL837_N2",-12.6243908795042,12.3520898864731
"1_CELL840_N3",21.9539498567363,10.1333833833492
"1_CELL842_N2",-42.5853036135442,-1.33165413797548
"1_CELL846_N3",-26.8238841682501,12.4707361709571
"1_CELL849_N3",7.39046197668601,7.29823711696835
"1_CELL853_N2",-16.5783383941243,-33.4705850859264
"1_CELL854_N2",26.5869707511381,-10.5228484886319
"1_CELL859_N2",-8.6546847429491,-20.7028197001199
"1_CELL860_N2",-4.54921238902185,24.3358667605019
"1_CELL861_N2",28.3275955125211,21.562605454267
"1_CELL863_N2",2.389073356428,-8.48451163751138
"1_CELL864_N3",16.3656578975555,-32.1704689314977
"1_CELL866_N2",19.1294420399045,0.196414445074248
"1_CELL868_N2",6.56721074854932,12.77711827091
"1_CELL869_N2",-6.7763653115449,-9.71162189764859
"1_CELL870_N3",-0.221338201628165,-11.0941933066644
"1_CELL873_N2",32.9504688470976,-10.2794467298667
"1_CELL874_N2",9.45723468865399,16.663059443278
