"","orig.ident","nCount_RNA","nFeature_RNA","batch","percent.mt","RNA_snn_res.0.6","seurat_clusters"
"1_CELL396_N4","au1",4234,988,"1",0,"4","4"
"1_CELL400_N3","au1",2080,960,"1",0,"7","7"
"1_CELL402_N3","au1",3714,969,"1",0,"0","0"
"1_CELL405_N2","au1",1783,730,"1",0,"8","8"
"1_CELL407_N2","au1",1271,563,"1",0,"0","0"
"1_CELL409_N2","au1",2373,747,"1",0,"2","2"
"1_CELL410_N2","au1",1170,399,"1",0,"11","11"
"1_CELL411_N4","au1",2554,894,"1",0,"13","13"
"1_CELL412_N4","au1",3719,1046,"1",0,"5","5"
"1_CELL413_N2","au1",1154,459,"1",0,"20","20"
"1_CELL416_N1","au1",2764,801,"1",0,"1","1"
"1_CELL417_N3","au1",2059,739,"1",0,"7","7"
"1_CELL418_N2","au1",1051,480,"1",0,"10","10"
"1_CELL419_N3","au1",3853,1221,"1",0,"6","6"
"1_CELL420_N2","au1",2155,792,"1",0,"13","13"
"1_CELL421_N2","au1",1165,450,"1",0,"0","0"
"1_CELL423_N3","au1",3157,1064,"1",0,"9","9"
"1_CELL424_N3","au1",1554,625,"1",0,"6","6"
"1_CELL425_N2","au1",2021,875,"1",0,"7","7"
"1_CELL426_N2","au1",2652,898,"1",0,"1","1"
"1_CELL427_N3","au1",3466,818,"1",0,"5","5"
"1_CELL430_N2","au1",4237,1113,"1",0,"9","9"
"1_CELL433_N3","au1",2659,854,"1",0,"9","9"
"1_CELL434_N4","au1",4419,1116,"1",0,"3","3"
"1_CELL437_N2","au1",4239,1125,"1",0,"6","6"
"1_CELL438_N3","au1",1774,511,"1",0,"11","11"
"1_CELL443_N6","au1",3901,1017,"1",0,"14","14"
"1_CELL446_N2","au1",2771,712,"1",0,"1","1"
"1_CELL447_N3","au1",1307,532,"1",0,"5","5"
"1_CELL450_N3","au1",1985,710,"1",0,"0","0"
"1_CELL453_N2","au1",1244,577,"1",0,"0","0"
"1_CELL455_N2","au1",2207,602,"1",0,"0","0"
"1_CELL458_N1","au1",1233,556,"1",0,"6","6"
"1_CELL459_N3","au1",1334,550,"1",0,"0","0"
"1_CELL465_N3","au1",2371,870,"1",0,"2","2"
"1_CELL469_N2","au1",1106,650,"1",0,"0","0"
"1_CELL471_N2","au1",1867,620,"1",0,"3","3"
"1_CELL472_N2","au1",1185,538,"1",0,"0","0"
"1_CELL475_N2","au1",2991,1017,"1",0,"12","12"
"1_CELL476_N3","au1",1755,721,"1",0,"9","9"
"1_CELL480_N2","au1",1113,509,"1",0,"3","3"
"1_CELL481_N4","au1",4815,1249,"1",0,"4","4"
"1_CELL484_N3","au1",1361,590,"1",0,"7","7"
"1_CELL486_N3","au1",2863,961,"1",0,"3","3"
"1_CELL489_N2","au1",5128,1293,"1",0,"1","1"
"1_CELL490_N2","au1",1670,740,"1",0,"2","2"
"1_CELL491_N3","au1",3006,848,"1",0,"10","10"
"1_CELL492_N4","au1",2859,873,"1",0,"3","3"
"1_CELL493_N3","au1",4166,1148,"1",0,"13","13"
"1_CELL494_N2","au1",1752,638,"1",0,"7","7"
"1_CELL495_N2","au1",4010,944,"1",0,"0","0"
"1_CELL500_N3","au1",1594,651,"1",0,"2","2"
"1_CELL501_N3","au1",4713,1072,"1",0,"11","11"
"1_CELL503_N2","au1",5730,1328,"1",0,"14","14"
"1_CELL505_N3","au1",4713,989,"1",0,"5","5"
"1_CELL507_N2","au1",2061,674,"1",0,"3","3"
"1_CELL508_N2","au1",4050,887,"1",0,"1","1"
"1_CELL509_N3","au1",6022,1359,"1",0,"5","5"
"1_CELL511_N2","au1",2252,602,"1",0,"0","0"
"1_CELL512_N1","au1",2105,702,"1",0,"0","0"
"1_CELL517_N2","au1",4107,1162,"1",0,"3","3"
"1_CELL518_N3","au1",1516,597,"1",0,"0","0"
"1_CELL519_N4","au1",1939,650,"1",0,"15","15"
"1_CELL522_N2","au1",6169,1399,"1",0,"15","15"
"1_CELL523_N2","au1",7354,1518,"1",0,"1","1"
"1_CELL526_N2","au1",4378,1275,"1",0,"0","0"
"1_CELL527_N3","au1",3866,1150,"1",0,"7","7"
"1_CELL529_N3","au1",2459,788,"1",0,"2","2"
"1_CELL530_N3","au1",1530,434,"1",0,"19","19"
"1_CELL531_N2","au1",2784,745,"1",0,"9","9"
"1_CELL535_N4","au1",3214,952,"1",0,"1","1"
"1_CELL537_N2","au1",3468,701,"1",0,"11","11"
"1_CELL538_N2","au1",1350,687,"1",0,"7","7"
"1_CELL539_N2","au1",2729,705,"1",0,"11","11"
"1_CELL545_N3","au1",7942,1820,"1",0,"8","8"
"1_CELL546_N5","au1",3374,975,"1",0,"0","0"
"1_CELL547_N3","au1",3749,956,"1",0,"13","13"
"1_CELL548_N4","au1",2119,662,"1",0,"0","0"
"1_CELL550_N2","au1",1559,576,"1",0,"14","14"
"1_CELL551_N3","au1",1289,565,"1",0,"9","9"
"1_CELL553_N2","au1",2231,753,"1",0,"4","4"
"1_CELL555_N3","au1",1977,629,"1",0,"13","13"
"1_CELL557_N2","au1",1013,466,"1",0,"0","0"
"1_CELL558_N3","au1",2603,842,"1",0,"4","4"
"1_CELL559_N3","au1",4738,1284,"1",0,"22","22"
"1_CELL560_N2","au1",1706,627,"1",0,"0","0"
"1_CELL561_N2","au1",1983,660,"1",0,"13","13"
"1_CELL563_N3","au1",1514,616,"1",0,"7","7"
"1_CELL565_N2","au1",2464,920,"1",0,"3","3"
"1_CELL567_N2","au1",2989,828,"1",0,"16","16"
"1_CELL569_N1","au1",1127,514,"1",0,"1","1"
"1_CELL570_N2","au1",4361,1197,"1",0,"13","13"
"1_CELL571_N2","au1",1985,797,"1",0,"7","7"
"1_CELL572_N5","au1",7484,1587,"1",0,"15","15"
"1_CELL575_N2","au1",1471,671,"1",0,"2","2"
"1_CELL577_N2","au1",1397,610,"1",0,"3","3"
"1_CELL578_N3","au1",2232,588,"1",0,"5","5"
"1_CELL580_N2","au1",1606,585,"1",0,"15","15"
"1_CELL582_N2","au1",1682,655,"1",0,"10","10"
"1_CELL584_N3","au1",2433,866,"1",0,"0","0"
"1_CELL585_N3","au1",2872,765,"1",0,"4","4"
"1_CELL586_N2","au1",1215,556,"1",0,"0","0"
"1_CELL589_N2","au1",1413,621,"1",0,"4","4"
"1_CELL590_N2","au1",1962,637,"1",0,"0","0"
"1_CELL592_N2","au1",13046,1686,"1",0,"11","11"
"1_CELL593_N2","au1",1456,627,"1",0,"0","0"
"1_CELL594_N3","au1",1273,537,"1",0,"0","0"
"1_CELL595_N4","au1",2263,875,"1",0,"2","2"
