"","orig.ident","nCount_RNA","nFeature_RNA","batch","percent.mt","RNA_snn_res.0.6","seurat_clusters"
"3_CELL961_N2","au3",2506,875,"3",0,"9","9"
"3_CELL962_N2","au3",3862,962,"3",0,"1","1"
"3_CELL964_N4","au3",3565,796,"3",0,"16","16"
"3_CELL966_N2","au3",1497,772,"3",0,"7","7"
"3_CELL968_N2","au3",2107,636,"3",0,"2","2"
"3_CELL969_N2","au3",2406,753,"3",0,"1","1"
"3_CELL974_N4","au3",1817,730,"3",0,"0","0"
"3_CELL976_N2","au3",2604,734,"3",0,"5","5"
"3_CELL982_N4","au3",6989,1487,"3",0,"11","11"
"3_CELL984_N3","au3",3036,990,"3",0,"2","2"
"3_CELL985_N4","au3",1893,674,"3",0,"0","0"
"3_CELL986_N3","au3",3822,1357,"3",0,"12","12"
"3_CELL987_N3","au3",1497,533,"3",0,"9","9"
"3_CELL988_N3","au3",1519,664,"3",0,"2","2"
"3_CELL994_N2","au3",1686,593,"3",0,"3","3"
"3_CELL996_N3","au3",1389,418,"3",0,"4","4"
"3_CELL1000_N4","au3",3128,1197,"3",0,"2","2"
"3_CELL1007_N2","au3",2155,505,"3",0,"11","11"
"3_CELL1010_N3","au3",4556,1342,"3",0,"3","3"
"3_CELL1015_N3","au3",6109,780,"3",0,"18","18"
"3_CELL1019_N2","au3",1918,688,"3",0,"2","2"
"3_CELL1020_N2","au3",1029,487,"3",0,"3","3"
"3_CELL1022_N2","au3",1715,613,"3",0,"5","5"
"3_CELL1025_N2","au3",1248,596,"3",0,"1","1"
"3_CELL1026_N3","au3",1570,696,"3",0,"0","0"
"3_CELL1029_N2","au3",1189,449,"3",0,"5","5"
"3_CELL1031_N2","au3",1365,577,"3",0,"0","0"
"3_CELL1032_N2","au3",2188,840,"3",0,"8","8"
"3_CELL1034_N2","au3",3210,966,"3",0,"1","1"
"3_CELL1035_N2","au3",2178,678,"3",0,"0","0"
"3_CELL1036_N2","au3",2264,652,"3",0,"1","1"
"3_CELL1037_N3","au3",1635,563,"3",0,"2","2"
"3_CELL1041_N2","au3",1685,571,"3",0,"3","3"
"3_CELL1042_N3","au3",3009,990,"3",0,"13","13"
"3_CELL1044_N2","au3",1988,697,"3",0,"2","2"
"3_CELL1047_N2","au3",1565,622,"3",0,"7","7"
"3_CELL1048_N5","au3",4974,1541,"3",0,"2","2"
"3_CELL1049_N2","au3",3052,1019,"3",0,"1","1"
"3_CELL1050_N3","au3",1431,597,"3",0,"17","17"
"3_CELL1055_N3","au3",3559,1154,"3",0,"3","3"
"3_CELL1056_N3","au3",1889,671,"3",0,"8","8"
"3_CELL1060_N2","au3",2620,887,"3",0,"2","2"
"3_CELL1067_N3","au3",2156,646,"3",0,"3","3"
"3_CELL1068_N3","au3",2598,818,"3",0,"13","13"
"3_CELL1072_N5","au3",2511,866,"3",0,"20","20"
"3_CELL1073_N2","au3",1865,811,"3",0,"12","12"
"3_CELL1080_N3","au3",1241,579,"3",0,"9","9"
"3_CELL1084_N2","au3",3150,1018,"3",0,"2","2"
"3_CELL1089_N2","au3",3532,1043,"3",0,"11","11"
"3_CELL1090_N2","au3",2913,930,"3",0,"1","1"
"3_CELL1097_N3","au3",1363,676,"3",0,"1","1"
"3_CELL1103_N2","au3",1532,616,"3",0,"8","8"
"3_CELL1105_N4","au3",1531,562,"3",0,"0","0"
"3_CELL1107_N2","au3",1196,594,"3",0,"3","3"
"3_CELL1110_N3","au3",6858,1802,"3",0,"3","3"
"3_CELL1115_N2","au3",5433,1391,"3",0,"9","9"
"3_CELL1116_N2","au3",3317,884,"3",0,"1","1"
"3_CELL1117_N3","au3",1768,717,"3",0,"6","6"
"3_CELL1120_N3","au3",2224,731,"3",0,"7","7"
"3_CELL1124_N4","au3",1111,565,"3",0,"1","1"
"3_CELL1125_N4","au3",2640,812,"3",0,"3","3"
"3_CELL1126_N3","au3",1774,714,"3",0,"12","12"
"3_CELL1135_N2","au3",1084,533,"3",0,"15","15"
"3_CELL1136_N2","au3",1781,747,"3",0,"9","9"
"3_CELL1138_N2","au3",2633,839,"3",0,"2","2"
"3_CELL1141_N3","au3",1400,687,"3",0,"8","8"
"3_CELL1143_N2","au3",1824,463,"3",0,"11","11"
"3_CELL1144_N2","au3",3768,1171,"3",0,"12","12"
"3_CELL1145_N4","au3",2536,1058,"3",0,"5","5"
"3_CELL1146_N3","au3",1084,540,"3",0,"3","3"
"3_CELL1148_N3","au3",1808,697,"3",0,"15","15"
"3_CELL1149_N3","au3",1560,659,"3",0,"0","0"
"3_CELL1151_N4","au3",1863,813,"3",0,"2","2"
"3_CELL1155_N3","au3",1936,694,"3",0,"0","0"
"3_CELL1157_N2","au3",6658,1649,"3",0,"10","10"
"3_CELL1161_N2","au3",1505,661,"3",0,"17","17"
"3_CELL1166_N3","au3",1490,699,"3",0,"1","1"
"3_CELL1167_N3","au3",1903,490,"3",0,"4","4"
"3_CELL1171_N2","au3",2348,865,"3",0,"10","10"
"3_CELL1172_N2","au3",1437,686,"3",0,"4","4"
"3_CELL1174_N3","au3",2872,953,"3",0,"0","0"
"3_CELL1176_N2","au3",1034,578,"3",0,"2","2"
"3_CELL1179_N4","au3",2436,887,"3",0,"3","3"
"3_CELL1184_N4","au3",1885,832,"3",0,"15","15"
"3_CELL1185_N2","au3",1233,559,"3",0,"8","8"
"3_CELL1188_N3","au3",2577,960,"3",0,"2","2"
"3_CELL1190_N3","au3",2525,987,"3",0,"14","14"
"3_CELL1191_N3","au3",2957,1103,"3",0,"2","2"
"3_CELL1196_N5","au3",3604,1053,"3",0,"16","16"
"3_CELL1202_N3","au3",1498,630,"3",0,"2","2"
"3_CELL1207_N2","au3",2106,719,"3",0,"5","5"
"3_CELL1209_N2","au3",1542,636,"3",0,"3","3"
"3_CELL1210_N3","au3",2641,1044,"3",0,"6","6"
"3_CELL1212_N3","au3",2448,913,"3",0,"15","15"
"3_CELL1213_N2","au3",1791,615,"3",0,"1","1"
"3_CELL1214_N2","au3",2276,712,"3",0,"15","15"
"3_CELL1217_N2","au3",1114,449,"3",0,"2","2"
"3_CELL1220_N2","au3",4792,1056,"3",0,"0","0"
"3_CELL1221_N3","au3",1582,639,"3",0,"14","14"
"3_CELL1222_N4","au3",4330,1278,"3",0,"12","12"
"3_CELL1223_N3","au3",2112,862,"3",0,"4","4"
"3_CELL1226_N3","au3",3365,955,"3",0,"14","14"
"3_CELL1230_N2","au3",3624,1063,"3",0,"12","12"
"3_CELL1232_N3","au3",3726,711,"3",0,"11","11"
"3_CELL1236_N3","au3",8384,1639,"3",0,"13","13"
"3_CELL1237_N3","au3",2942,1098,"3",0,"1","1"
"3_CELL1239_N4","au3",2921,1008,"3",0,"9","9"
"3_CELL1240_N3","au3",2638,744,"3",0,"1","1"
"3_CELL1246_N3","au3",1989,666,"3",0,"15","15"
"3_CELL1249_N4","au3",1531,671,"3",0,"0","0"
"3_CELL1254_N2","au3",1923,678,"3",0,"1","1"
"3_CELL1256_N2","au3",1993,615,"3",0,"14","14"
"3_CELL1257_N4","au3",2417,1010,"3",0,"0","0"
"3_CELL1259_N3","au3",1584,605,"3",0,"0","0"
"3_CELL1261_N4","au3",3452,1113,"3",0,"10","10"
"3_CELL1262_N2","au3",1645,573,"3",0,"3","3"
"3_CELL1263_N1","au3",1642,588,"3",0,"1","1"
"3_CELL1264_N2","au3",2166,759,"3",0,"17","17"
"3_CELL1268_N3","au3",1574,619,"3",0,"8","8"
"3_CELL1269_N2","au3",1961,558,"3",0,"16","16"
"3_CELL1272_N2","au3",1896,761,"3",0,"0","0"
"3_CELL1274_N3","au3",1875,727,"3",0,"12","12"
"3_CELL1275_N3","au3",2001,726,"3",0,"4","4"
"3_CELL1277_N5","au3",3327,972,"3",0,"10","10"
"3_CELL1280_N3","au3",2786,933,"3",0,"10","10"
"3_CELL1282_N2","au3",1502,585,"3",0,"7","7"
"3_CELL1286_N3","au3",1525,482,"3",0,"0","0"
"3_CELL1287_N2","au3",2035,823,"3",0,"6","6"
"3_CELL1292_N3","au3",1346,568,"3",0,"4","4"
"3_CELL1296_N3","au3",2338,481,"3",0,"18","18"
"3_CELL1297_N2","au3",1267,554,"3",0,"19","19"
"3_CELL1298_N3","au3",1566,720,"3",0,"12","12"
"3_CELL1302_N2","au3",7939,1837,"3",0,"17","17"
"3_CELL1304_N3","au3",1020,537,"3",0,"2","2"
"3_CELL1305_N3","au3",1311,559,"3",0,"2","2"
"3_CELL1306_N3","au3",1819,769,"3",0,"5","5"
"3_CELL1309_N2","au3",3064,950,"3",0,"6","6"
"3_CELL1312_N2","au3",2403,730,"3",0,"0","0"
"3_CELL1316_N3","au3",2626,867,"3",0,"4","4"
"3_CELL1319_N2","au3",1129,505,"3",0,"0","0"
"3_CELL1320_N2","au3",1141,544,"3",0,"10","10"
"3_CELL1321_N2","au3",1641,752,"3",0,"2","2"
"3_CELL1322_N4","au3",1683,687,"3",0,"5","5"
"3_CELL1325_N2","au3",1132,532,"3",0,"1","1"
"3_CELL1326_N3","au3",3013,985,"3",0,"8","8"
"3_CELL1328_N4","au3",2280,932,"3",0,"10","10"
"3_CELL1329_N2","au3",1615,763,"3",0,"0","0"
"3_CELL1330_N3","au3",3068,956,"3",0,"0","0"
"3_CELL1331_N2","au3",1079,465,"3",0,"1","1"
"3_CELL1332_N2","au3",1516,606,"3",0,"0","0"
"3_CELL1333_N4","au3",2741,894,"3",0,"1","1"
"3_CELL1336_N4","au3",4024,1111,"3",0,"3","3"
"3_CELL1339_N2","au3",4366,815,"3",0,"16","16"
"3_CELL1340_N3","au3",2186,797,"3",0,"0","0"
"3_CELL1341_N2","au3",1059,504,"3",0,"5","5"
"3_CELL1342_N2","au3",8935,1891,"3",0,"14","14"
"3_CELL1344_N2","au3",1277,567,"3",0,"0","0"
"3_CELL1345_N3","au3",2896,1077,"3",0,"12","12"
"3_CELL1352_N4","au3",2255,789,"3",0,"1","1"
"3_CELL1355_N2","au3",1753,721,"3",0,"3","3"
"3_CELL1357_N2","au3",1763,679,"3",0,"6","6"
"3_CELL1362_N4","au3",4991,1594,"3",0,"8","8"
"3_CELL1363_N2","au3",1984,693,"3",0,"1","1"
"3_CELL1365_N3","au3",1351,682,"3",0,"6","6"
"3_CELL1367_N4","au3",3112,917,"3",0,"2","2"
"3_CELL1369_N3","au3",4100,1137,"3",0,"2","2"
"3_CELL1371_N2","au3",1823,793,"3",0,"6","6"
"3_CELL1374_N2","au3",1228,475,"3",0,"16","16"
"3_CELL1375_N2","au3",1799,710,"3",0,"3","3"
"3_CELL1377_N3","au3",2467,850,"3",0,"15","15"
"3_CELL1378_N3","au3",7569,1826,"3",0,"10","10"
"3_CELL1380_N3","au3",2318,869,"3",0,"3","3"
"3_CELL1381_N4","au3",5678,1337,"3",0,"1","1"
"3_CELL1387_N5","au3",4639,1306,"3",0,"10","10"
"3_CELL1389_N3","au3",2018,845,"3",0,"0","0"
"3_CELL1391_N2","au3",1727,701,"3",0,"13","13"
"3_CELL1392_N4","au3",4058,1131,"3",0,"1","1"
"3_CELL1394_N2","au3",1904,743,"3",0,"0","0"
"3_CELL1397_N2","au3",2057,735,"3",0,"13","13"
"3_CELL1399_N2","au3",1130,513,"3",0,"10","10"
"3_CELL1400_N5","au3",2857,996,"3",0,"3","3"
"3_CELL1401_N3","au3",3081,893,"3",0,"11","11"
"3_CELL1403_N3","au3",1328,673,"3",0,"1","1"
"3_CELL1406_N2","au3",2186,542,"3",0,"0","0"
"3_CELL1408_N4","au3",2066,829,"3",0,"2","2"
"3_CELL1410_N4","au3",1513,576,"3",0,"3","3"
"3_CELL1413_N4","au3",3412,1066,"3",0,"17","17"
"3_CELL1415_N3","au3",4121,1259,"3",0,"2","2"
"3_CELL1416_N5","au3",2576,869,"3",0,"9","9"
"3_CELL1419_N3","au3",1854,669,"3",0,"2","2"
"3_CELL1422_N3","au3",1183,570,"3",0,"0","0"
"3_CELL1423_N5","au3",5146,1199,"3",0,"4","4"
"3_CELL1425_N3","au3",1734,605,"3",0,"21","21"
"3_CELL1431_N3","au3",2794,975,"3",0,"2","2"
"3_CELL1432_N4","au3",1503,574,"3",0,"4","4"
"3_CELL1433_N1","au3",1587,673,"3",0,"12","12"
"3_CELL1434_N4","au3",2980,986,"3",0,"3","3"
"3_CELL1435_N5","au3",2928,905,"3",0,"15","15"
"3_CELL1438_N4","au3",2020,814,"3",0,"15","15"
"3_CELL1439_N2","au3",1471,720,"3",0,"7","7"
"3_CELL1442_N3","au3",2361,958,"3",0,"2","2"
"3_CELL1443_N4","au3",3304,1259,"3",0,"7","7"
"3_CELL1444_N3","au3",1206,582,"3",0,"2","2"
"3_CELL1449_N3","au3",2203,1068,"3",0,"7","7"
"3_CELL1450_N2","au3",3044,1012,"3",0,"3","3"
"3_CELL1451_N3","au3",3787,1290,"3",0,"7","7"
"3_CELL1452_N3","au3",1111,499,"3",0,"10","10"
"3_CELL1455_N2","au3",1613,668,"3",0,"0","0"
"3_CELL1456_N2","au3",1424,483,"3",0,"1","1"
"3_CELL1457_N2","au3",2128,627,"3",0,"5","5"
"3_CELL1464_N3","au3",5552,1192,"3",0,"5","5"
"3_CELL1466_N2","au3",2697,933,"3",0,"2","2"
"3_CELL1468_N3","au3",2132,742,"3",0,"16","16"
"3_CELL1469_N2","au3",2344,831,"3",0,"6","6"
"3_CELL1470_N4","au3",2705,1096,"3",0,"6","6"
"3_CELL1473_N3","au3",2521,620,"3",0,"23","23"
"3_CELL1475_N6","au3",5177,1296,"3",0,"1","1"
"3_CELL1476_N3","au3",1641,741,"3",0,"13","13"
"3_CELL1480_N3","au3",1879,723,"3",0,"15","15"
"3_CELL1482_N2","au3",1085,501,"3",0,"0","0"
"3_CELL1483_N3","au3",1191,521,"3",0,"1","1"
"3_CELL1489_N2","au3",1256,553,"3",0,"1","1"
"3_CELL1490_N3","au3",2031,669,"3",0,"1","1"
"3_CELL1493_N3","au3",1547,663,"3",0,"2","2"
"3_CELL1494_N3","au3",1858,672,"3",0,"8","8"
"3_CELL1496_N2","au3",1869,566,"3",0,"13","13"
"3_CELL1499_N3","au3",1316,594,"3",0,"0","0"
"3_CELL1502_N3","au3",3786,1159,"3",0,"9","9"
"3_CELL1504_N3","au3",1563,598,"3",0,"3","3"
"3_CELL1505_N3","au3",2838,936,"3",0,"0","0"
"3_CELL1506_N2","au3",1396,591,"3",0,"0","0"
"3_CELL1507_N5","au3",1856,752,"3",0,"0","0"
"3_CELL1508_N3","au3",3563,1049,"3",0,"0","0"
"3_CELL1509_N3","au3",3213,961,"3",0,"1","1"
"3_CELL1511_N2","au3",3013,1023,"3",0,"3","3"
"3_CELL1512_N3","au3",4294,1164,"3",0,"17","17"
"3_CELL1513_N3","au3",1490,584,"3",0,"5","5"
"3_CELL1518_N2","au3",1644,648,"3",0,"0","0"
"3_CELL1520_N2","au3",3011,979,"3",0,"4","4"
"3_CELL1529_N3","au3",3342,1105,"3",0,"0","0"
"3_CELL1530_N2","au3",1605,555,"3",0,"4","4"
"3_CELL1531_N2","au3",1353,442,"3",0,"5","5"
"3_CELL1534_N3","au3",4269,924,"3",0,"4","4"
"3_CELL1537_N4","au3",1461,624,"3",0,"13","13"
"3_CELL1540_N2","au3",2382,774,"3",0,"1","1"
"3_CELL1542_N3","au3",1885,675,"3",0,"2","2"
"3_CELL1546_N4","au3",3385,1327,"3",0,"6","6"
"3_CELL1548_N2","au3",2416,735,"3",0,"13","13"
"3_CELL1549_N3","au3",1429,590,"3",0,"9","9"
"3_CELL1551_N3","au3",4334,1240,"3",0,"11","11"
"3_CELL1553_N4","au3",2024,558,"3",0,"16","16"
"3_CELL1554_N2","au3",3049,993,"3",0,"1","1"
"3_CELL1555_N2","au3",2457,844,"3",0,"0","0"
"3_CELL1556_N2","au3",5497,1443,"3",0,"10","10"
"3_CELL1557_N3","au3",3215,617,"3",0,"18","18"
"3_CELL1558_N3","au3",3489,899,"3",0,"13","13"
"3_CELL1562_N2","au3",1024,489,"3",0,"0","0"
"3_CELL1563_N5","au3",6177,1518,"3",0,"10","10"
"3_CELL1564_N3","au3",1548,494,"3",0,"5","5"
"3_CELL1567_N4","au3",2216,625,"3",0,"15","15"
"3_CELL1568_N5","au3",6306,1521,"3",0,"19","19"
"3_CELL1573_N3","au3",1585,692,"3",0,"3","3"
"3_CELL1575_N3","au3",1594,798,"3",0,"2","2"
"3_CELL1576_N2","au3",2030,480,"3",0,"0","0"
"3_CELL1577_N2","au3",1821,659,"3",0,"5","5"
"3_CELL1578_N3","au3",1848,676,"3",0,"2","2"
"3_CELL1584_N4","au3",4018,1072,"3",0,"1","1"
"3_CELL1586_N3","au3",2718,797,"3",0,"9","9"
"3_CELL1587_N2","au3",2120,788,"3",0,"3","3"
"3_CELL1588_N6","au3",2516,902,"3",0,"1","1"
"3_CELL1590_N2","au3",1941,728,"3",0,"15","15"
"3_CELL1591_N3","au3",1859,688,"3",0,"10","10"
"3_CELL1592_N2","au3",2417,926,"3",0,"6","6"
"3_CELL1593_N3","au3",3031,987,"3",0,"13","13"
"3_CELL1594_N2","au3",1542,565,"3",0,"0","0"
"3_CELL1595_N4","au3",4225,1156,"3",0,"8","8"
"3_CELL1601_N3","au3",5336,894,"3",0,"18","18"
"3_CELL1603_N3","au3",2971,1016,"3",0,"8","8"
"3_CELL1604_N2","au3",4323,1180,"3",0,"9","9"
"3_CELL1609_N3","au3",5571,1493,"3",0,"2","2"
"3_CELL1610_N3","au3",4513,1289,"3",0,"2","2"
"3_CELL1612_N3","au3",3497,980,"3",0,"6","6"
"3_CELL1618_N4","au3",2255,793,"3",0,"13","13"
"3_CELL1622_N2","au3",1593,596,"3",0,"11","11"
"3_CELL1627_N3","au3",3357,971,"3",0,"0","0"
"3_CELL1628_N3","au3",2374,853,"3",0,"1","1"
"3_CELL1629_N3","au3",3677,710,"3",0,"18","18"
"3_CELL1633_N2","au3",3566,1099,"3",0,"8","8"
"3_CELL1635_N2","au3",8437,1855,"3",0,"9","9"
"3_CELL1636_N2","au3",2592,926,"3",0,"5","5"
"3_CELL1637_N3","au3",3255,979,"3",0,"8","8"
"3_CELL1640_N2","au3",1900,531,"3",0,"2","2"
"3_CELL1643_N4","au3",1729,615,"3",0,"0","0"
"3_CELL1644_N2","au3",1684,592,"3",0,"0","0"
"3_CELL1645_N5","au3",2393,868,"3",0,"3","3"
"3_CELL1647_N3","au3",1295,579,"3",0,"0","0"
"3_CELL1649_N2","au3",1325,568,"3",0,"13","13"
"3_CELL1651_N3","au3",1558,588,"3",0,"1","1"
"3_CELL1654_N2","au3",2298,903,"3",0,"0","0"
"3_CELL1655_N2","au3",1634,708,"3",0,"6","6"
"3_CELL1657_N3","au3",1254,564,"3",0,"0","0"
"3_CELL1658_N3","au3",2625,846,"3",0,"2","2"
"3_CELL1659_N2","au3",1081,614,"3",0,"12","12"
"3_CELL1661_N2","au3",1731,469,"3",0,"4","4"
"3_CELL1662_N2","au3",2762,915,"3",0,"0","0"
"3_CELL1667_N3","au3",3052,1261,"3",0,"7","7"
"3_CELL1668_N3","au3",2170,693,"3",0,"0","0"
"3_CELL1671_N2","au3",1480,510,"3",0,"0","0"
"3_CELL1672_N3","au3",2535,701,"3",0,"19","19"
"3_CELL1673_N2","au3",6767,1646,"3",0,"3","3"
"3_CELL1676_N2","au3",1226,584,"3",0,"4","4"
"3_CELL1677_N2","au3",1814,594,"3",0,"0","0"
"3_CELL1678_N2","au3",3261,1060,"3",0,"3","3"
"3_CELL1682_N3","au3",2680,1068,"3",0,"3","3"
"3_CELL1683_N3","au3",4687,1306,"3",0,"20","20"
"3_CELL1684_N4","au3",1780,713,"3",0,"13","13"
"3_CELL1685_N3","au3",1904,718,"3",0,"17","17"
"3_CELL1689_N3","au3",3538,1194,"3",0,"10","10"
"3_CELL1690_N2","au3",4171,1251,"3",0,"0","0"
"3_CELL1694_N4","au3",2416,839,"3",0,"2","2"
"3_CELL1696_N3","au3",1311,604,"3",0,"1","1"
"3_CELL1697_N2","au3",6496,1204,"3",0,"15","15"
"3_CELL1701_N3","au3",2017,614,"3",0,"16","16"
"3_CELL1706_N3","au3",2837,870,"3",0,"11","11"
"3_CELL1711_N3","au3",2428,849,"3",0,"5","5"
"3_CELL1712_N5","au3",1649,645,"3",0,"1","1"
"3_CELL1713_N3","au3",1508,583,"3",0,"0","0"
"3_CELL1714_N2","au3",2274,737,"3",0,"0","0"
"3_CELL1715_N3","au3",1652,590,"3",0,"0","0"
"3_CELL1716_N3","au3",1440,622,"3",0,"14","14"
"3_CELL1721_N3","au3",2524,787,"3",0,"2","2"
"3_CELL1729_N5","au3",2317,744,"3",0,"0","0"
"3_CELL1731_N2","au3",1973,598,"3",0,"11","11"
"3_CELL1732_N3","au3",4465,1338,"3",0,"0","0"
"3_CELL1733_N3","au3",1137,553,"3",0,"1","1"
"3_CELL1739_N1","au3",1428,558,"3",0,"8","8"
"3_CELL1740_N2","au3",2048,887,"3",0,"6","6"
"3_CELL1747_N3","au3",6113,1618,"3",0,"10","10"
"3_CELL1748_N2","au3",1785,741,"3",0,"8","8"
"3_CELL1750_N2","au3",1447,666,"3",0,"8","8"
"3_CELL1753_N2","au3",1382,552,"3",0,"6","6"
"3_CELL1755_N2","au3",2742,875,"3",0,"1","1"
"3_CELL1756_N3","au3",4314,965,"3",0,"16","16"
"3_CELL1757_N2","au3",3068,927,"3",0,"1","1"
"3_CELL1760_N2","au3",1292,630,"3",0,"12","12"
"3_CELL1762_N5","au3",2133,683,"3",0,"19","19"
"3_CELL1766_N3","au3",1673,703,"3",0,"10","10"
"3_CELL1767_N3","au3",2269,793,"3",0,"15","15"
"3_CELL1768_N2","au3",1398,629,"3",0,"10","10"
"3_CELL1773_N7","au3",10994,1799,"3",0,"18","18"
"3_CELL1775_N7","au3",4868,1596,"3",0,"12","12"
"3_CELL1780_N2","au3",1545,482,"3",0,"4","4"
"3_CELL1783_N2","au3",1346,743,"3",0,"7","7"
"3_CELL1784_N2","au3",1810,731,"3",0,"13","13"
"3_CELL1786_N3","au3",1994,590,"3",0,"13","13"
"3_CELL1787_N7","au3",4385,1163,"3",0,"0","0"
"3_CELL1789_N4","au3",1564,723,"3",0,"0","0"
"3_CELL1791_N2","au3",1906,708,"3",0,"5","5"
"3_CELL1795_N5","au3",3668,872,"3",0,"11","11"
"3_CELL1797_N3","au3",1082,569,"3",0,"20","20"
"3_CELL1798_N5","au3",3329,1000,"3",0,"19","19"
"3_CELL1799_N3","au3",2003,722,"3",0,"2","2"
"3_CELL1800_N2","au3",1218,541,"3",0,"9","9"
"3_CELL1803_N2","au3",1662,629,"3",0,"3","3"
"3_CELL1805_N3","au3",5037,1228,"3",0,"0","0"
"3_CELL1807_N3","au3",5109,1139,"3",0,"11","11"
"3_CELL1812_N3","au3",2946,913,"3",0,"11","11"
"3_CELL1815_N2","au3",1428,609,"3",0,"10","10"
"3_CELL1819_N2","au3",1203,642,"3",0,"7","7"
"3_CELL1822_N4","au3",3114,1319,"3",0,"12","12"
"3_CELL1826_N2","au3",1851,707,"3",0,"2","2"
"3_CELL1827_N3","au3",1160,539,"3",0,"3","3"
"3_CELL1828_N2","au3",1758,752,"3",0,"2","2"
"3_CELL1829_N2","au3",1724,800,"3",0,"7","7"
"3_CELL1830_N2","au3",2342,779,"3",0,"2","2"
"3_CELL1831_N3","au3",1043,480,"3",0,"5","5"
"3_CELL1834_N4","au3",2819,825,"3",0,"0","0"
"3_CELL1841_N3","au3",2042,722,"3",0,"1","1"
"3_CELL1842_N4","au3",2286,879,"3",0,"5","5"
"3_CELL1843_N2","au3",1398,686,"3",0,"0","0"
"3_CELL1844_N4","au3",4798,1345,"3",0,"0","0"
"3_CELL1847_N3","au3",2587,770,"3",0,"0","0"
"3_CELL1848_N3","au3",5098,1315,"3",0,"1","1"
"3_CELL1850_N3","au3",2280,783,"3",0,"9","9"
"3_CELL1853_N3","au3",2643,1275,"3",0,"7","7"
"3_CELL1854_N2","au3",1486,593,"3",0,"0","0"
"3_CELL1855_N2","au3",1714,648,"3",0,"2","2"
"3_CELL1856_N2","au3",2131,675,"3",0,"9","9"
"3_CELL1859_N3","au3",1630,622,"3",0,"0","0"
"3_CELL1860_N4","au3",3223,959,"3",0,"1","1"
"3_CELL1861_N2","au3",1195,602,"3",0,"3","3"
"3_CELL1863_N3","au3",1189,573,"3",0,"5","5"
"3_CELL1864_N3","au3",1431,616,"3",0,"3","3"
"3_CELL1865_N3","au3",1442,729,"3",0,"1","1"
"3_CELL1871_N2","au3",8090,1702,"3",0,"5","5"
"3_CELL1872_N3","au3",2534,874,"3",0,"6","6"
"3_CELL1873_N3","au3",4210,1099,"3",0,"1","1"
"3_CELL1875_N2","au3",5934,855,"3",0,"18","18"
"3_CELL1878_N3","au3",3206,810,"3",0,"1","1"
"3_CELL1879_N2","au3",5638,1281,"3",0,"11","11"
"3_CELL1880_N3","au3",1388,767,"3",0,"0","0"
"3_CELL1886_N2","au3",8086,1571,"3",0,"4","4"
"3_CELL1891_N3","au3",4263,1058,"3",0,"6","6"
"3_CELL1892_N4","au3",2867,979,"3",0,"2","2"
"3_CELL1893_N4","au3",2004,656,"3",0,"0","0"
"3_CELL1894_N4","au3",2363,635,"3",0,"5","5"
"3_CELL1895_N4","au3",1473,561,"3",0,"0","0"
"3_CELL1897_N2","au3",1366,561,"3",0,"8","8"
"3_CELL1899_N3","au3",1676,748,"3",0,"8","8"
"3_CELL1903_N3","au3",2992,774,"3",0,"8","8"
"3_CELL1907_N2","au3",1520,501,"3",0,"0","0"
"3_CELL1908_N3","au3",1164,511,"3",0,"20","20"
"3_CELL1910_N3","au3",3200,914,"3",0,"14","14"
"3_CELL1911_N2","au3",1514,565,"3",0,"5","5"
"3_CELL1914_N2","au3",3399,1055,"3",0,"4","4"
"3_CELL1919_N3","au3",2035,628,"3",0,"3","3"
"3_CELL1920_N3","au3",2286,778,"3",0,"9","9"
"3_CELL1925_N3","au3",1933,759,"3",0,"0","0"
"3_CELL1927_N3","au3",7675,1969,"3",0,"19","19"
"3_CELL1929_N2","au3",1448,555,"3",0,"0","0"
"3_CELL1930_N2","au3",3153,770,"3",0,"16","16"
"3_CELL1931_N3","au3",5723,1169,"3",0,"3","3"
"3_CELL1934_N3","au3",1766,599,"3",0,"1","1"
"3_CELL1937_N3","au3",1587,630,"3",0,"13","13"
"3_CELL1941_N3","au3",1477,568,"3",0,"5","5"
"3_CELL1942_N3","au3",1443,706,"3",0,"7","7"
"3_CELL1943_N2","au3",3551,992,"3",0,"15","15"
"3_CELL1944_N3","au3",1020,522,"3",0,"2","2"
"3_CELL1945_N2","au3",1294,551,"3",0,"3","3"
"3_CELL1948_N2","au3",1234,554,"3",0,"0","0"
"3_CELL1949_N3","au3",2070,797,"3",0,"2","2"
"3_CELL1950_N2","au3",2416,836,"3",0,"3","3"
"3_CELL1952_N3","au3",5230,1420,"3",0,"4","4"
"3_CELL1953_N3","au3",1204,655,"3",0,"3","3"
"3_CELL1956_N3","au3",2596,777,"3",0,"0","0"
"3_CELL1960_N3","au3",3429,809,"3",0,"16","16"
"3_CELL1961_N3","au3",2574,791,"3",0,"17","17"
"3_CELL1962_N3","au3",1134,456,"3",0,"8","8"
"3_CELL1963_N2","au3",2656,703,"3",0,"3","3"
"3_CELL1964_N2","au3",4103,1087,"3",0,"9","9"
"3_CELL1967_N3","au3",3629,719,"3",0,"4","4"
"3_CELL1968_N2","au3",1418,542,"3",0,"8","8"
"3_CELL1969_N2","au3",7858,1459,"3",0,"5","5"
"3_CELL1971_N3","au3",1164,478,"3",0,"8","8"
"3_CELL1972_N2","au3",3339,918,"3",0,"2","2"
"3_CELL1973_N5","au3",2460,820,"3",0,"1","1"
"3_CELL1974_N2","au3",1493,530,"3",0,"13","13"
