cluster,gene,rank
3,XLOC-016943#XLOC-016943,38
3,XLOC-005822#XLOC-005822,39
3,XLOC-013181#TWIST-XENLA#P13903,40
3,XLOC-006039#XLOC-006039,41
3,XLOC-016362#XLOC-016362,42
3,XLOC-016357#NAA35-DANRE#Q7T322,43
3,XLOC-014898#XLOC-014898,44
3,XLOC-014006#RTBS-DROME#Q95SX7,45
3,gene-evm.model.ptg000032l.277-1,46
3,XLOC-015420#XLOC-015420,47
3,XLOC-005204#SHKD-DICDI#Q54U31,48
3,XLOC-016366#BAKOR-MOUSE#Q8CDJ3,49
3,XLOC-013144#XLOC-013144,50
3,XLOC-005824#XLOC-005824,51
3,XLOC-005913#XLOC-005913,52
3,XLOC-013671#PGBM-HUMAN#P98160,53
3,XLOC-016132#XLOC-016132,54
3,XLOC-016162#XLOC-016162,55
3,XLOC-013741#IPP-HUMAN#Q9Y573,56
3,XLOC-013749#KCNQ4-HUMAN#P56696,57
3,XLOC-005581#VTA1-BOVIN#Q32L63,58
3,XLOC-013563#XLOC-013563,59
3,XLOC-013205#XLOC-013205,60
3,XLOC-007500#XLOC-007500,61
3,XLOC-015598#BCK1-YEAST#Q01389,62
3,XLOC-016227#XLOC-016227,63
3,XLOC-005723#S35A2-BOVIN#Q58DA6,64
3,XLOC-014299#UPP2-MOUSE#Q8CGR7,65
3,gene-evm.model.ptg000063l.1#NAS4-CAEEL#P55112,66
3,XLOC-016731#PRDM9-MOUSE#Q96EQ9,67
3,XLOC-005718#MOES-BOVIN#Q2HJ49,68
3,gene-evm.model.ptg000055l.229-1,69
3,novel-gene-chr9-8753#novel-gene-chr9-8753,70
3,XLOC-012342#XLOC-012342,71
3,XLOC-006951#XLOC-006951,72
3,XLOC-011018#XLOC-011018,73
3,XLOC-005149#GDAP2-NEMVE#A7T167,74
3,XLOC-012957#XLOC-012957,75
3,gene-evm.model.ptg000035l.325-1,76
3,XLOC-016525#Y2258-MYCTU#O53532,77
3,XLOC-012623#XLOC-012623,78
3,XLOC-015865#THYN1-DANRE#Q6PFL8,79
3,XLOC-015846#ASX-DROME#Q9V727,80
3,XLOC-012429#CC50A-MOUSE#Q8VEK0,81
3,XLOC-013014#CG078-HUMAN#A0A1B0GVB3,82
3,gene-evm.model.ptg000028l.916-1,83
3,gene-evm.model.ptg000054l.4,84
3,XLOC-014701#XLOC-014701,85
3,XLOC-016119#PIF1-XENLA#Q0R4F1,86
3,XLOC-012926#XLOC-012926,87
3,XLOC-005652#DHSO-MACFA#Q4R639,88
3,XLOC-013539#OXND1-BOVIN#Q58DM7,89
3,XLOC-005745#XLOC-005745,90
3,XLOC-013203#XLOC-013203,91
3,XLOC-012787#XLOC-012787,92
3,XLOC-005560#MP17L-BOVIN#Q2KIK2,93
3,XLOC-016779#XLOC-016779,94
3,XLOC-005544#XLOC-005544,95
3,XLOC-013537#XLOC-013537,96
3,XLOC-016302#XLOC-016302,97
3,XLOC-005765#XLOC-005765,98
3,XLOC-013834#AGRL3-HUMAN#Q9HAR2,99
3,XLOC-005556#OSTM1-MOUSE#Q8BGT0,100
4,XLOC-024213#PPM1E-HUMAN#Q8WY54,1
4,XLOC-024933#HSF2B-MOUSE#Q9D4G2,2
4,gene-evm.model.ptg000008l.95,3
4,gene-evm.model.ptg000008l.722,4
4,XLOC-013217#XLOC-013217,5
4,XLOC-002610#XLOC-002610,6
4,XLOC-024807#XLOC-024807,7
4,XLOC-025002#RIPL-DROME#O76878,8
4,XLOC-016638#XLOC-016638,9
4,XLOC-016675#XLOC-016675,10
4,XLOC-017049#XLOC-017049,11
4,XLOC-005011#LMF1-BOVIN#Q0P5C0,12
4,XLOC-004994#ERCC1-BOVIN#Q1LZ75,13
4,XLOC-016921#CN093-HUMAN#Q9H972,14
4,XLOC-016896#XLOC-016896,15
4,XLOC-002402#TRM10-CRYNJ#P0CS10,16
4,XLOC-004874#PLCG1-HUMAN#P19174,17
4,XLOC-012955#XLOC-012955,18
4,XLOC-023994#XLOC-023994,19
4,XLOC-002406#UBAC1-HUMAN#Q9BSL1,20
4,XLOC-004927#FONG-HUMAN#E5RQL4,21
4,XLOC-024202#B4GT1-MOUSE#P15535,22
4,XLOC-003201#XLOC-003201,23
4,XLOC-024703#XLOC-024703,24
4,XLOC-016614#EI2BE-DICDI#Q54RF3,25
4,XLOC-016462#XLOC-016462,26
4,XLOC-014476#XLOC-014476,27
4,XLOC-003678#XLOC-003678,28
4,XLOC-003656#XLOC-003656,29
4,XLOC-014448#XLOC-014448,30
4,XLOC-003045#XLOC-003045,31
4,XLOC-014340#HEXI1-DANRE#A5D8S8,32
4,XLOC-014436#CPT2-DANRE#Q5U3U3,33
4,gene-evm.model.ptg000001l.932-1,34
4,XLOC-007910#XLOC-007910,35
4,XLOC-014367#UBIQP-PHYIN#P22589,36
4,XLOC-016692#XLOC-016692,37
4,gene-evm.model.ptg000005l.210#gene-evm.model.ptg000005l.210,38
4,XLOC-019972#YIPF4-DANRE#Q6NYF1,39
4,XLOC-007908#XLOC-007908,40
4,XLOC-023788#XLOC-023788,41
4,XLOC-026378#XLOC-026378,42
4,XLOC-026342#XLOC-026342,43
4,XLOC-002453#MED27-DANRE#Q6PFL0,44
4,XLOC-016598#XLOC-016598,45
4,XLOC-024444#XLOC-024444,46
4,XLOC-024456#CPPED-XENTR#Q28FE0,47
4,XLOC-024479#XLOC-024479,48
4,gene-evm.model.ptg000002l.23,49
4,gene-evm.model.ptg000001l.609,50
4,XLOC-024246#CP17A-ICTPU#O73853,51
4,XLOC-004054#T184B-BOVIN#A2VDL9,52
4,XLOC-015734#AEN-RAT#B2GUW6,53
4,XLOC-025212#XLOC-025212,54
4,XLOC-002704#XLOC-002704,55
4,XLOC-015888#SGK3-HUMAN#Q96BR1,56
4,XLOC-015871#NAS6-CAEEL#Q9U3S9,57
4,XLOC-004465#ATG12-HUMAN#O94817,58
4,XLOC-025455#HM05-CAEEL#P20269,59
4,XLOC-025512#NDUAD-BOVIN#Q95KV7,60
4,XLOC-025306#XLOC-025306,61
4,XLOC-016201#XLOC-016201,62
4,XLOC-020153#EMARD-HUMAN#Q5T6L9,63
4,XLOC-010933#XLOC-010933,64
4,XLOC-010730#XLOC-010730,65
4,XLOC-011350#XLOC-011350,66
4,gene-evm.model.ptg000021l.210-1,67
4,gene-evm.model.ptg000024l.726-1,68
4,XLOC-010540#XLOC-010540,69
4,XLOC-009237#XLOC-009237,70
4,XLOC-011382#DCA10-DANRE#Q6NWH1,71
4,XLOC-012291#ATGA1-XENTR#A4IH75,72
4,gene-evm.model.ptg000024l.76-1,73
4,XLOC-019747#VATD-SUBDO#P57747,74
